state,year,month,temp_mean,rh_mean,rain_mm,rain_days,monsoon
Johor,1999,4,27.529411764705884,,33710.815,0,Inter
Johor,1999,12,27.529411764705884,80.76470588235294,30716.2,0,NE
Johor,2000,1,25.53846153846154,86.07692307692308,23487.239999999998,0,NE
Johor,2000,2,25.285714285714285,84.85714285714286,14026.970000000001,0,NE
Johor,2000,4,26.346938775510203,87.48979591836735,33710.815,0,Inter
Johor,2000,5,24.0,89.0,42021.03,0,SW
Johor,2000,6,26.615960099750623,85.45885286783043,46800.395000000004,0,SW
Johor,2000,7,26.7203125,84.7601880877743,36780.14,0,SW
Johor,2000,8,25.56422018348624,88.06880733944953,49668.3,0,SW
Johor,2000,9,26.270142180094787,86.97314375987362,47306.79,0,SW
Johor,2000,10,26.749633967789165,84.87096774193549,29406.04,0,Inter
Johor,2000,11,26.31859756097561,87.78048780487805,36642.9,0,NE
Johor,2000,12,26.34285714285714,87.52631578947368,30716.2,0,NE
Johor,2001,1,25.6395173453997,88.605421686747,23487.239999999998,0,NE
Johor,2001,2,26.31291390728477,83.98013245033113,14026.970000000001,0,NE
Johor,2001,3,26.651982378854623,84.96470588235294,30377.85,0,NE
Johor,2001,4,26.562798092209857,88.20190779014308,33710.815,0,Inter
Johor,2001,5,26.955307262569832,86.57821229050279,42021.03,0,SW
Johor,2001,6,26.7393850658858,85.57686676427525,46800.395000000004,0,SW
Johor,2001,7,26.735172413793105,84.99724137931034,36780.14,0,SW
Johor,2001,8,26.73167358229599,85.96818810511756,49668.3,0,SW
Johor,2001,9,26.15527065527065,87.63675213675214,47306.79,0,SW
Johor,2001,10,26.768275862068965,85.01103448275862,29406.04,0,Inter
Johor,2001,11,26.20196353436185,86.47685834502104,36642.9,0,NE
Johor,2001,12,26.109017496635264,86.54912516823688,30716.2,0,NE
Johor,2002,1,25.830811554332875,82.78434065934066,23487.239999999998,0,NE
Johor,2002,2,25.978915662650603,79.40060240963855,14026.970000000001,0,NE
Johor,2002,3,26.389945652173918,81.45923913043478,30377.85,0,NE
Johor,2002,4,26.63888888888889,84.74561403508773,33710.815,0,Inter
Johor,2002,5,26.811475409836067,86.17622950819673,42021.03,0,SW
Johor,2002,6,26.45376955903272,86.86770981507824,46800.395000000004,0,SW
Johor,2002,7,26.430311231393777,85.12855209742895,36780.14,0,SW
Johor,2002,8,26.18367346938776,84.19727891156462,49668.3,0,SW
Johor,2002,9,25.68567454798331,86.90125173852573,47306.79,0,SW
